customer_id,name,email,total_orders,total_spent,last_purchase_date,preferred_channel,loyalty_tier,engagement_score
22,"William Johnson",sheila14@example.org,14,10212.76,2025-03-09,sms,Inactive,68.98
23,"Natalie Lambert",meyerlindsay@example.net,10,7386.05,2025-05-06,email,Inactive,55.73
24,"Stephanie Gilbert",jamesortega@example.com,12,8638.40,2025-05-19,whatsapp,Inactive,69.13
25,"Angela Robertson",yleon@example.net,13,10098.58,2025-05-04,whatsapp,Inactive,64.98
26,"Brittany Williams",clarence34@example.org,14,10687.12,2025-05-06,push,Inactive,63.77
27,"Kristin Lowery",gregoryrubio@example.net,10,8045.18,2025-05-01,whatsapp,Inactive,61.46
28,"Ryan Ramirez",juliawells@example.com,10,7204.60,2025-05-08,sms,Inactive,58.8
29,"Jennifer Daniels",patrickhernandez@example.org,10,7584.45,2025-04-07,phone,Inactive,59.54
30,"George Shelton",brobinson@example.com,13,9328.50,2025-05-07,push,Inactive,63.76
31,"Gail Hobbs",brentgray@example.org,11,8408.25,2025-04-24,email,Inactive,63.18
32,"Maureen Elliott",maryhowell@example.org,12,8895.87,2025-04-26,phone,Inactive,64.76
33,"Miguel Jones",hickmanbarbara@example.com,11,7427.27,2025-04-26,phone,Inactive,57.0
34,"Jack Snow",atkinsonlynn@example.org,13,9414.15,2025-05-16,email,Inactive,62.26
35,"Julie Bishop",mariahmiller@example.com,12,9418.82,2025-05-06,email,Inactive,61.45
36,"Cynthia Alvarez",christophercortez@example.com,12,8534.60,2025-05-08,whatsapp,Inactive,66.34
37,"Jennifer Sanchez",bwest@example.org,12,9112.61,2025-03-25,email,Inactive,64.92
38,"Philip Lopez",griffithleslie@example.net,13,9884.48,2025-04-19,phone,Inactive,60.51
39,"William Tran",harry08@example.org,14,9708.38,2025-05-01,sms,Inactive,65.83
40,"Kenneth Parks",ewilson@example.com,12,9022.43,2025-04-06,sms,Inactive,66.29
41,"Elizabeth Oliver DDS",tkerr@example.net,11,8843.96,2025-04-02,whatsapp,Inactive,61.52
42,"Angela Allen",mezajared@example.org,11,8340.80,2025-04-23,whatsapp,Inactive,63.25
43,"Deborah Moody",jasmine71@example.net,12,8532.23,2025-05-02,push,Inactive,67.1
44,"Deborah Thomas",ronaldstephens@example.net,12,9738.45,2025-04-16,email,Inactive,62.89
45,"Stacy Navarro",vincent77@example.org,10,6915.68,2025-04-24,whatsapp,Inactive,59.61
46,"Tracy Harrison",howard96@example.net,15,11910.54,2025-05-05,email,Inactive,66.7
47,"Kimberly Gutierrez",darrell68@example.org,14,10764.04,2025-04-30,sms,Inactive,65.4
48,"Mark Lloyd",fgilmore@example.org,11,7802.72,2025-05-13,email,Inactive,61.86
49,"Willie Durham",lancesmith@example.com,13,10353.74,2025-05-16,email,Inactive,62.3
50,"Desiree Tyler",sandraromero@example.org,12,8339.36,2025-05-01,email,Inactive,66.5
51,"Cynthia Reyes DVM",ugibson@example.org,12,9280.34,2025-05-20,sms,Inactive,66.28
52,"Wayne Jones",jsmith@example.com,12,9464.34,2025-05-09,whatsapp,Inactive,64.95
53,"Michael Garcia",wendy16@example.org,11,8137.98,2025-05-01,phone,Inactive,61.4
54,"Anthony Howard",heatherberger@example.org,13,9297.80,2025-03-27,whatsapp,Inactive,67.57
55,"Steven Marshall",stevenking@example.com,11,8110.73,2025-04-11,sms,Inactive,65.81
56,"Michael Johnson",youngashley@example.net,13,10391.73,2025-05-17,email,Inactive,60.27
57,"Andrew Diaz",bergerdebbie@example.com,10,7451.82,2025-05-03,whatsapp,Inactive,63.72
58,"Mrs. Sheila Brock",jonathansummers@example.com,12,9245.29,2025-04-07,phone,Inactive,66.84
59,"Todd Rodriguez",emily49@example.com,12,8576.00,2025-04-26,email,Inactive,66.84
60,"Johnathan Davis",cwilson@example.org,10,7781.77,2025-04-29,email,Inactive,60.05
61,"Daniel Wallace",rgilbert@example.org,13,9800.76,2025-05-06,email,Inactive,62.82
62,"Tricia Williams",ndavis@example.net,12,8733.92,2025-04-12,email,Inactive,66.47
63,"Sean Anderson",vanessafernandez@example.org,15,10886.41,2025-05-04,email,Inactive,60.33
64,"Kathy Dougherty",gstrickland@example.net,14,10190.18,2025-05-20,whatsapp,Inactive,66.29
65,"Austin Hill",fjones@example.com,13,10027.24,2025-05-19,email,Inactive,67.2
66,"Jody Perry",ohayes@example.com,12,9096.05,2025-04-16,sms,Inactive,62.46
67,"Justin Willis",reynoldsjulie@example.com,12,8940.93,2025-05-12,sms,Inactive,67.04
68,"Dr. Gregory Hawkins",lanejason@example.net,11,8708.97,2025-04-21,whatsapp,Inactive,66.37
69,"Gregory White",whitejacqueline@example.com,16,12037.63,2025-04-29,push,Inactive,69.24
70,"Ricardo Bradley",xpeterson@example.com,14,9997.73,2025-05-01,sms,Inactive,63.49
71,"Jeffrey Campbell",nperry@example.net,12,9255.01,2025-04-22,email,Inactive,63.54
72,"Carl Patel",mark07@example.net,10,7733.13,2025-04-20,phone,Inactive,58.1
73,"Donna Sullivan",barbara96@example.net,13,9516.56,2025-05-05,whatsapp,Inactive,64.52
74,"Kerry Lee",jeffrey21@example.net,15,12277.59,2025-05-06,whatsapp,Inactive,67.35
75,"Lori Lin",kmaldonado@example.net,11,8424.64,2025-04-29,whatsapp,Inactive,63.72
76,"Angela Lin",dhayes@example.com,13,10203.95,2025-05-09,email,Inactive,66.62
77,"Rita Monroe",cassidy82@example.org,14,10868.66,2025-04-10,sms,Inactive,63.6
78,"Maria Jones",paul59@example.org,15,10979.35,2025-04-03,whatsapp,Inactive,66.93
79,"Bradley Hansen",tammy62@example.net,13,10348.23,2025-05-12,email,Inactive,60.48
80,"Richard Romero",jeremytaylor@example.org,10,7791.43,2025-04-10,whatsapp,Inactive,59.81
81,"David Wallace",jenniferwilliams@example.com,14,11119.12,2025-04-14,sms,Inactive,66.88
82,"Amy Castillo",lisasolis@example.org,14,10724.54,2025-05-16,push,Inactive,65.57
83,"Jennifer Brooks",lisawilkerson@example.org,11,8623.68,2025-04-14,sms,Inactive,63.21
84,"Ruben Dunn",fgilbert@example.org,12,9206.55,2025-05-12,whatsapp,Inactive,68.57
85,"Jose Allen",copelandvincent@example.net,10,7431.67,2025-05-10,phone,Inactive,55.94
86,"Jordan Smith",carlos88@example.net,13,9853.97,2025-03-29,email,Inactive,60.94
87,"Clarence Taylor",amy27@example.net,13,10092.18,2025-05-02,whatsapp,Inactive,68.63
88,"Anthony Rios",mullinsjames@example.com,13,9821.48,2025-04-24,email,Inactive,67.16
89,"Frank Miller",mmiller@example.org,12,8777.91,2025-03-23,push,Inactive,69.47
90,"Meghan Cisneros",lambertrichard@example.net,12,8726.76,2025-05-15,sms,Inactive,69.57
91,"Billy Taylor",erikarush@example.com,15,11068.72,2025-05-18,email,Inactive,64.71
92,"Yvonne Gonzalez",jane39@example.com,13,9747.52,2025-05-07,phone,Inactive,62.66
93,"Heather Walker",jenniferho@example.net,12,9520.99,2025-04-21,whatsapp,Inactive,66.97
94,"Joseph Hammond",jonesraymond@example.net,11,7924.52,2025-05-09,email,Inactive,62.0
95,"Kelly Torres",ryanbartlett@example.org,12,10432.13,2025-05-19,email,Inactive,60.3
96,"Todd Moore",christina18@example.net,11,9002.86,2025-03-17,sms,Inactive,59.72
97,"Melinda Evans",dawn47@example.org,15,10756.62,2025-05-11,email,Inactive,65.01
98,"Kayla Rodriguez",jessica56@example.org,13,9870.84,2025-04-20,phone,Inactive,59.62
99,"Nathan Lee",kwright@example.com,11,8349.09,2025-05-15,sms,Inactive,63.89
100,"Linda Cameron",jasongomez@example.org,14,10387.34,2025-05-02,whatsapp,Inactive,66.95
101,"Joshua Bryan",angela16@example.net,13,10616.27,2025-05-15,whatsapp,Inactive,68.57
102,"Chase Barry",williamsjennifer@example.com,13,9914.18,2025-05-19,whatsapp,Inactive,69.85
103,"Veronica Silva",thomas05@example.com,15,10144.06,2025-04-09,whatsapp,Inactive,69.98
104,"Jeremy Barnes",anthonyvaughan@example.org,10,7048.60,2025-05-07,sms,Inactive,64.46
105,"Raymond Le",stevepatel@example.net,13,9523.13,2025-04-23,sms,Inactive,63.81
106,"Bryan Rhodes",ybailey@example.net,13,9913.38,2025-05-03,sms,Inactive,68.14
107,"Michael Schmidt",derrick99@example.org,10,7750.07,2025-03-21,whatsapp,Inactive,65.86
108,"Susan Davis",katelynmitchell@example.com,13,9927.40,2025-05-08,sms,Inactive,63.71
109,"Timothy Rogers",nancy04@example.net,13,9970.72,2025-04-30,email,Inactive,60.31
110,"Nicole Thompson",alexisrogers@example.com,13,9877.93,2025-05-19,phone,Inactive,60.6
111,"Michael Lopez",gwilcox@example.com,13,9101.00,2025-05-11,sms,Inactive,66.23
112,"Michael Brown",brandi90@example.com,11,8944.39,2025-03-08,whatsapp,Inactive,64.93
113,"Lisa Perry",susanmendoza@example.com,10,7919.39,2025-05-03,push,Inactive,58.04
114,"Joshua Martin",brownamy@example.net,12,8829.11,2025-05-11,email,Inactive,62.33
115,"David Smith",tchambers@example.net,10,7212.56,2025-05-11,email,Inactive,60.99
116,"Veronica Brewer",mitchellhector@example.org,15,10977.34,2025-04-05,email,Inactive,65.03
117,"Kimberly Patel",avilatiffany@example.com,14,9754.81,2025-05-17,whatsapp,Inactive,71.47
118,"Michael Brennan",jamiegarcia@example.org,14,10658.85,2025-05-19,whatsapp,Inactive,67.82
119,"William Boyd",barbara53@example.com,13,10137.08,2025-04-10,sms,Inactive,63.71
120,"Kara Atkinson",yhernandez@example.org,13,10311.26,2025-05-11,email,Inactive,65.55
121,"Sandra Williams",nielsenmelanie@example.org,14,10857.40,2025-05-02,whatsapp,Inactive,69.04
122,"Melissa Padilla",suzannewilson@example.com,11,8959.72,2025-05-14,email,Inactive,62.71
123,"Jacqueline Gutierrez",langjennifer@example.com,13,9794.43,2025-04-08,email,Inactive,65.94
124,"Mary Cohen",markjames@example.org,12,8498.53,2025-04-29,email,Inactive,67.86
125,"Sarah Hall",landryelizabeth@example.org,12,8629.04,2025-05-18,email,Inactive,62.18
126,"William Smith",hsmith@example.net,11,8016.72,2025-02-18,phone,Inactive,61.34
127,"Wanda Perez",zmiller@example.com,14,10099.02,2025-05-06,sms,Inactive,62.05
128,"Shawna Clay",jacobsonsamantha@example.org,12,9029.78,2025-05-06,push,Inactive,63.83
129,"James Mosley",evansanne@example.net,11,8716.17,2025-05-16,whatsapp,Inactive,62.84
130,"Henry Pugh",walterskristen@example.com,11,8021.37,2025-04-10,sms,Inactive,60.04
131,"Debra Anderson",daniel04@example.com,12,8967.92,2025-05-01,whatsapp,Inactive,72.0
132,"Jason Maxwell",carlsonkristen@example.com,13,8887.54,2025-05-20,whatsapp,Inactive,64.38
133,"Isaac Raymond",ryanfisher@example.com,16,11471.79,2025-04-27,email,Inactive,67.37
134,"Erica Valentine",pcook@example.net,11,7760.54,2025-04-05,email,Inactive,62.63
135,"Tara Gonzalez",yramirez@example.com,12,9002.67,2025-05-11,sms,Inactive,64.34
136,"Jay Bennett",cynthiaallen@example.net,12,8647.40,2025-05-04,email,Inactive,65.16
137,"Kristine Newman",dianekelly@example.net,12,8878.17,2025-03-02,email,Inactive,60.05
138,"Brett Walker",vrasmussen@example.com,13,9829.80,2025-04-28,whatsapp,Inactive,69.55
139,"Todd Thomas",agarcia@example.org,16,12019.30,2025-05-03,email,Inactive,67.35
140,"Carly Riggs",johnsonmatthew@example.org,12,8889.87,2025-05-13,sms,Inactive,66.56
141,"Lisa Gonzalez",jacobsandoval@example.com,13,9922.89,2025-04-30,whatsapp,Inactive,70.96
142,"John Church",mark71@example.com,13,9509.80,2025-05-20,phone,Inactive,60.05
143,"Charles Price",david41@example.org,14,10295.32,2025-05-19,phone,Inactive,62.27
144,"Tiffany Washington",leonardhayes@example.org,14,10171.38,2025-05-12,whatsapp,Inactive,68.08
145,"Jason Vasquez",lisamaynard@example.net,12,8039.83,2025-05-02,email,Inactive,67.58
146,"Brian Wilson",xcunningham@example.com,10,7618.97,2025-05-08,whatsapp,Inactive,66.17
147,"Nancy Norris",gonzalesvictoria@example.org,11,8235.13,2025-04-13,whatsapp,Inactive,65.12
148,"Scott Duke",tiffany44@example.net,11,8710.16,2025-05-07,sms,Inactive,60.7
149,"Wendy Camacho",taylorkaren@example.com,12,9315.15,2025-04-03,email,Inactive,63.69
150,"Nicole Neal",ohayes@example.org,11,8803.24,2025-05-08,phone,Inactive,61.6
151,"Kenneth Knight",troymorris@example.com,11,8449.72,2025-05-18,sms,Inactive,62.6
152,"Bradley Beck",erik41@example.net,14,10206.37,2025-05-17,whatsapp,Inactive,64.21
153,"William Henderson",ssmith@example.com,13,9890.50,2025-05-01,sms,Inactive,66.53
154,"Michael Jones",patrickli@example.org,10,7529.71,2025-04-09,push,Inactive,64.41
155,"Janet Richmond",mosleydonald@example.org,13,10295.84,2025-05-13,whatsapp,Inactive,65.96
156,"Jonathan Wheeler",debbie37@example.com,10,7545.92,2025-03-22,email,Inactive,58.39
157,"Micheal Wang",jason06@example.net,11,8854.87,2025-05-12,sms,Inactive,64.76
158,"Angelica Hamilton",collinssamuel@example.org,12,8641.30,2025-05-17,whatsapp,Inactive,64.43
159,"Bailey Yoder",nathanbrady@example.com,12,9160.29,2025-05-05,email,Inactive,63.79
160,"William Burton",lindsay48@example.org,14,11082.34,2025-05-04,whatsapp,Inactive,66.11
161,"Jack Mora",williamsmichelle@example.org,10,8675.93,2026-06-13,email,Platinum,84.51
162,"Vicki Finley",david02@example.org,13,11408.26,2026-06-11,whatsapp,Platinum,88.23
163,"Leslie Snyder",anne49@example.org,15,14888.13,2026-06-01,whatsapp,Platinum,90.59
164,"Anthony Shea",harristonya@example.com,13,11721.51,2026-06-14,email,Platinum,82.57
165,"Mrs. Debbie Edwards",vargasbryan@example.net,12,10322.15,2026-06-10,sms,Platinum,91.64
166,"Randy Hayes",hedwards@example.net,12,11579.52,2026-05-18,email,Platinum,85.95
167,"William Johnson",rpalmer@example.com,15,13395.96,2026-06-14,phone,Platinum,82.17
168,"Kevin Lowery",owatson@example.net,12,10662.81,2026-06-03,push,Platinum,92.39
169,"Alyssa Vega",jacksonaudrey@example.net,15,13567.36,2026-06-05,email,Platinum,88.13
170,"Douglas Taylor",jjenkins@example.com,11,10614.61,2026-06-08,whatsapp,Platinum,86.94
171,"Allen Cochran",paul20@example.com,11,10823.76,2026-04-19,email,Platinum,80.18
172,"Emily Rojas",lkelly@example.org,13,11582.57,2026-06-13,whatsapp,Platinum,92.1
173,"Karen Rivera",davisjesse@example.org,17,14941.79,2026-06-07,email,Platinum,89.55
174,"Sarah Morris",lindsaypeterson@example.org,11,9929.91,2026-05-21,whatsapp,Platinum,85.19
175,"Rebecca Yu",kevin22@example.net,12,10302.68,2026-06-08,phone,Platinum,88.06
176,"Lindsey Mccall",xrosales@example.net,13,10519.27,2026-06-01,push,Platinum,87.02
177,"Gregory Buchanan",nsmith@example.org,12,10004.51,2026-05-30,push,Platinum,87.1
178,"Emma Lynn",franciscojones@example.org,13,12205.44,2026-06-11,push,Platinum,88.01
179,"Brooke Garcia",kdunlap@example.net,15,14034.85,2026-06-11,email,Platinum,85.78
180,"Aaron Miller",farmstrong@example.org,14,12678.57,2026-06-09,whatsapp,Platinum,89.35
181,"Jane Lopez",christopher86@example.org,14,12493.20,2026-05-27,email,Platinum,86.35
182,"Ms. Kristen Randall",barnettlindsey@example.com,14,12260.67,2026-06-14,whatsapp,Platinum,92.01
183,"Cynthia Evans",rsheppard@example.com,15,15108.39,2026-06-08,whatsapp,Platinum,92.64
184,"Steven Mcbride",torr@example.org,13,10979.41,2026-06-14,push,Platinum,92.24
185,"Juan Gates",luis11@example.com,14,11823.85,2026-06-01,whatsapp,Platinum,90.99
186,"Dennis Pena",floydmikayla@example.com,13,10196.74,2026-06-12,push,Platinum,85.64
187,"Nichole Mccall",vpreston@example.net,13,11704.01,2026-06-10,whatsapp,Platinum,86.95
188,"Thomas Russell",fjacobs@example.org,12,10791.15,2026-06-01,email,Platinum,88.49
189,"Jesus Hull",nancygonzalez@example.org,15,12515.21,2026-06-11,whatsapp,Platinum,91.23
190,"Steven Curry",wmatthews@example.com,15,12650.60,2026-06-11,push,Platinum,90.16
191,"Thomas Holland",hancocktammy@example.net,13,12485.71,2026-06-13,email,Platinum,85.65
192,"Jorge Bates",erica96@example.net,14,12283.82,2026-06-11,whatsapp,Platinum,88.95
193,"Rebekah Greene",jacob83@example.org,11,9244.52,2026-05-31,whatsapp,Platinum,88.75
194,"Ryan Pittman",qknox@example.com,11,9723.79,2026-06-04,whatsapp,Platinum,85.75
195,"Stephen Watson",michaelgarner@example.com,12,12038.43,2026-06-13,whatsapp,Platinum,91.26
196,"Jason Pitts",vincentdillon@example.com,10,9061.90,2026-04-06,sms,Platinum,76.4
197,"Abigail Hill",lcook@example.com,10,9268.66,2026-06-14,sms,Platinum,86.57
198,"Joseph Smith",jessicadodson@example.com,13,11749.16,2026-05-28,push,Platinum,85.41
199,"Joseph Warren",colonkenneth@example.com,14,12629.73,2026-06-12,email,Platinum,83.47
200,"Kimberly Williams",jennifer06@example.net,11,10284.15,2026-06-11,push,Platinum,83.51
201,"Mary Bates",jamiejennings@example.org,12,11368.36,2026-06-07,whatsapp,Platinum,88.25
202,"Jennifer Martin",kimberlydecker@example.org,15,14237.84,2026-06-10,whatsapp,Platinum,91.44
203,"Brian Scott",stacychan@example.org,15,12981.94,2026-06-07,email,Platinum,87.79
204,"Brenda Holland",ronald11@example.org,15,13547.99,2026-06-09,email,Platinum,85.97
205,"Michael Brown",zbanks@example.org,14,11898.74,2026-05-19,whatsapp,Platinum,91.19
206,"Mrs. Tami Rodriguez",huffmannichole@example.net,12,10996.27,2026-05-28,email,Platinum,85.39
207,"Alexandria Oneill",ealexander@example.com,10,8623.81,2026-06-06,phone,Platinum,83.57
208,"Sean Jones",schneidereric@example.com,10,8314.94,2026-06-10,whatsapp,Platinum,88.16
209,"Veronica Mcgee",fmiller@example.com,11,9534.14,2026-06-09,email,Platinum,87.29
210,"Ryan Rivera",xclements@example.org,12,10875.90,2026-05-24,whatsapp,Platinum,92.69
211,"Jason King",princetravis@example.net,13,11782.66,2026-06-11,push,Platinum,88.02
212,"Jonathan Maynard",bartonshannon@example.net,14,11904.66,2026-06-08,email,Platinum,85.83
213,"Janice Petty",hughescaroline@example.com,11,10141.01,2026-06-09,whatsapp,Platinum,90.22
214,"Thomas Anderson",jamesweber@example.com,15,14026.11,2026-05-16,whatsapp,Platinum,87.71
215,"Amy Adams",millsanthony@example.org,14,11988.28,2026-05-23,sms,Platinum,85.09
216,"Patrick Hoffman",jensenemma@example.net,16,14160.30,2026-05-29,whatsapp,Platinum,89.36
217,"Maria Fischer",james73@example.net,12,10765.71,2026-06-12,sms,Platinum,91.25
218,"Candace Singleton",rwilliams@example.net,12,10677.66,2026-06-08,sms,Platinum,86.43
219,"Joseph Hartman",charles58@example.org,11,9262.03,2026-05-31,whatsapp,Platinum,90.05
220,"Dr. Veronica Smith DDS",kelly98@example.com,13,11861.71,2026-06-12,sms,Platinum,86.46
221,"Stephanie Lee",willie87@example.com,12,10486.43,2026-05-17,whatsapp,Platinum,86.51
222,"Amy Bauer",andrewlove@example.org,12,11151.29,2026-06-14,push,Platinum,86.43
223,"Luke Avila",pricedavid@example.org,14,12339.40,2026-05-22,sms,Platinum,87.46
224,"Richard Turner",haynescharles@example.net,13,10685.98,2026-05-25,push,Platinum,88.02
225,"Charles Byrd",irobles@example.com,14,13000.29,2026-06-09,whatsapp,Platinum,88.73
226,"Taylor York",kaitlinberger@example.com,14,12778.02,2026-06-04,email,Platinum,83.99
227,"Lauren Lynn",robertscarlos@example.org,17,15864.03,2026-06-09,phone,Platinum,85.28
228,"Richard Joseph",lindsey62@example.org,10,9421.85,2026-06-06,push,Platinum,81.65
229,"Craig Gross",wilkinsonmichele@example.org,13,11396.49,2026-06-11,whatsapp,Platinum,90.73
230,"Eddie Marshall",michaelwalker@example.net,14,11803.63,2026-06-02,sms,Platinum,88.97
231,"Tracey Holden",sanderswayne@example.net,11,9634.15,2026-06-02,whatsapp,Platinum,89.14
232,"Terry Ward",bakerjim@example.net,10,9097.85,2026-06-14,email,Platinum,79.98
233,"Terry Black",briana18@example.com,16,14457.76,2026-05-23,whatsapp,Platinum,91.84
234,"Matthew Perry",jacobcox@example.net,14,12253.35,2026-06-10,whatsapp,Platinum,93.42
235,"Christopher Mullen",macdonalddylan@example.org,11,10629.09,2026-06-14,push,Platinum,90.13
236,"Grant Chavez",cindydixon@example.org,16,14366.80,2026-06-11,phone,Platinum,81.48
237,"Richard Gordon",thompsonrachel@example.net,13,11673.84,2026-06-04,whatsapp,Platinum,93.51
238,"Jane Chapman",wolferoy@example.com,14,12235.88,2026-06-12,push,Platinum,91.74
239,"Kelly Brooks",fletcherkristine@example.net,9,8342.70,2026-05-30,whatsapp,Platinum,82.93
240,"Kristin White",cheryl63@example.com,15,13595.57,2026-06-11,email,Platinum,86.58
241,"James Morgan",klogan@example.org,10,9202.73,2026-06-12,push,Platinum,82.49
242,"James Joyce",bakernathan@example.net,15,14772.96,2026-06-12,push,Platinum,85.04
243,"April Moore",christinacraig@example.com,13,11470.58,2026-05-12,whatsapp,Platinum,84.19
244,"Mr. Jared Smith",sylvia43@example.net,13,12129.85,2026-06-12,whatsapp,Platinum,88.12
245,"Peter Ali",heather69@example.com,14,12350.28,2026-05-23,push,Platinum,88.66
246,"Megan Nicholson",haynesjose@example.com,13,10819.85,2026-06-09,email,Platinum,87.37
247,"Deborah Perez",pmclaughlin@example.net,11,10331.84,2026-06-06,email,Platinum,82.73
248,"Stanley Andrews",uwatson@example.com,10,9043.14,2026-06-12,whatsapp,Platinum,88.5
249,"Joe Norris",phillip27@example.org,11,10279.13,2026-04-06,push,Platinum,81.33
250,"Jonathan Clark",josephmullen@example.com,13,11640.18,2026-05-23,push,Platinum,90.11
251,"Nancy Kennedy",mchase@example.org,12,9573.10,2026-05-05,email,Platinum,84.09
252,"David Combs",rosshannah@example.org,14,12901.52,2026-06-13,phone,Platinum,83.92
253,"Kenneth Banks",rmartinez@example.net,16,14217.06,2026-06-01,email,Platinum,87.49
254,"Logan Sullivan",mirandadavidson@example.com,16,15809.01,2026-06-03,whatsapp,Platinum,89.11
255,"Vincent Gutierrez",xnorman@example.net,14,10435.77,2026-06-14,whatsapp,Platinum,91.54
256,"Jennifer Hubbard",zunigathomas@example.org,10,8237.11,2026-06-11,sms,Platinum,83.04
257,"Allen Alvarado",isims@example.net,14,12600.23,2026-05-20,push,Platinum,90.39
258,"Jennifer Moore",timothy31@example.com,11,9708.60,2026-06-13,email,Platinum,86.72
259,"Adrienne Brooks",albert64@example.net,12,10711.53,2026-05-29,email,Platinum,83.07
260,"Mark Williamson",robert12@example.org,10,8779.14,2026-06-13,sms,Platinum,81.75
261,"Adrian Robinson",jenniferacosta@example.org,14,11528.58,2026-06-01,whatsapp,Platinum,93.26
262,"Bryan Tate",paulawright@example.com,11,9075.14,2026-05-12,whatsapp,Platinum,82.75
263,"Nicholas Garner",tmaldonado@example.com,11,9684.27,2026-05-21,email,Platinum,79.89
264,"Lauren Foster",cynthianguyen@example.org,11,9924.32,2026-05-16,push,Platinum,85.41
265,"Yolanda Garrett",ndavis@example.com,12,10925.03,2026-06-14,push,Platinum,86.17
266,"Steven Washington",andrewgray@example.net,9,8410.37,2026-06-12,email,Platinum,80.33
267,"Lacey Stephens",ihansen@example.net,15,12957.87,2026-06-07,email,Platinum,82.71
268,"Patty Allen",bgross@example.net,11,9856.99,2026-05-22,email,Platinum,81.12
269,"Amanda Rodriguez",millscarl@example.org,11,9901.20,2026-04-20,email,Platinum,80.55
270,"Timothy Collier",jeffrey10@example.org,12,11329.92,2026-06-03,email,Platinum,86.81
271,"James Lee",susandavis@example.net,12,9791.55,2026-06-06,push,Platinum,86.34
272,"Steven Pierce",diane89@example.com,15,13150.05,2026-06-13,phone,Platinum,88.73
273,"Joseph Holder",csmith@example.com,11,10062.22,2026-06-08,whatsapp,Platinum,90.69
274,"Lauren Hall",stevenseric@example.com,15,12547.68,2026-06-07,whatsapp,Platinum,88.99
275,"Misty Mcguire",christopher69@example.org,13,10873.56,2026-06-14,push,Platinum,90.27
276,"Darrell Delgado",michael66@example.org,14,12815.10,2026-06-12,whatsapp,Platinum,86.28
277,"Laura Davis",nunezwendy@example.com,13,12002.33,2026-06-05,whatsapp,Platinum,86.18
278,"Matthew Gonzalez",kathleencastillo@example.org,14,11722.96,2026-06-10,sms,Platinum,87.11
279,"Thomas Davis",johnadams@example.com,14,13472.61,2026-05-27,push,Platinum,92.01
280,"Linda Johnson",whenderson@example.org,11,9371.74,2026-04-26,email,Platinum,79.88
281,"Samantha Smith",sanchezchristine@example.org,11,9815.23,2026-06-14,email,Platinum,87.37
282,"Matthew Williams",heatherbarnett@example.com,11,9670.90,2026-06-08,sms,Platinum,82.58
283,"Stephen Hughes",elizabeth51@example.org,11,9932.47,2026-06-05,whatsapp,Platinum,87.77
284,"Brooke Reed",sandratorres@example.com,12,10765.05,2026-05-20,whatsapp,Platinum,87.18
285,"Toni Salazar",penny21@example.net,14,13592.95,2026-06-03,whatsapp,Platinum,93.52
286,"Theodore Jordan",michelleparker@example.net,14,13599.62,2026-06-13,sms,Platinum,85.82
287,"Cathy Farmer",scott42@example.org,14,12771.01,2026-06-08,whatsapp,Platinum,88.04
288,"Catherine Hughes",waynejacobs@example.net,15,12744.79,2026-06-13,email,Platinum,82.24
289,"Judith Wright",fcamacho@example.net,11,9789.05,2026-06-05,whatsapp,Platinum,90.89
290,"James Moss",cwilcox@example.org,12,10640.87,2026-06-09,whatsapp,Platinum,90.94
